thinkofPlayingGameDayLong,spendFreeTimeonGame,feelingofGameAddiction,playingLongerThenIntended,spendLargeTimeonGame,unableToStopPlaying,gamingToForgetRealLife,gamingToReleaseStress,gamingToFeelBetter,unableToReduceGaming,unsuccessfulInfluenceofOthers,angryIssue,stressIssue,unsocialIssue,fightIssue,breakofRelationship,tendToDeceive,sleepIssue,tendToloseHobbies,tendToNeglectImportantActivities,neckandBackPain,orthopedicIssues,eyesightIssue,hearingIssue,tendToCocurricularActivities,tendToPresentClass,tendToPeerInterraction
Rarely,Often,Very Often,Sometimes,Often,Very Often,Often,Very Often,Very Often,Sometimes,Very Often,Often,Often,Often,Sometimes,Sometime,Never,Very Often,Never,Very Often,Often,Often,Often,Never,Sometimes,Never,Often
Sometimes,Sometimes,Very Often,Very Often,Sometimes,Rarely,Often,Rarely,Rarely,Often,Rarely,Rarely,Rarely,Never,Often,Sometime,Rarely,Sometimes,Never,Sometimes,Often,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes
Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Often,Often,Very Often,Very Often,Very Often,Sometimes,Sometimes,Sometimes,Rarely,Sometime,Often,Sometimes,Sometimes,Sometimes,Often,Often,Often,Very Often,Often,Sometimes,Sometimes
Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Sometime,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely
Sometimes,Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,Sometimes,Often
Sometimes,Sometimes,Often,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes
Sometimes,Often,Somtimes,Sometimes,Sometimes,Often,Often,Very Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Very Often,Very Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes
Sometimes,Often,Never,Sometimes,Sometimes,Never,Very Often,Very Often,Very Often,Sometimes,Sometimes,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Never,Rarely,Never,Sometimes,Rarely,Often
