thinkofPlayingGameDayLong,spendFreeTimeonGame,feelingofGameAddiction,playingLongerThenIntended,spendLargeTimeonGame,unableToStopPlaying,gamingToForgetRealLife,gamingToReleaseStress,gamingToFeelBetter,unableToReduceGaming,unsuccessfulInfluenceofOthers,angryIssue,stressIssue,unsocialIssue,fightIssue,breakofRelationship,tendToDeceive,sleepIssue,tendToloseHobbies,tendToNeglectImportantActivities,neckandBackPain,orthopedicIssues,eyesightIssue,hearingIssue,tendToCocurricularActivities,tendToPresentClass,tendToPeerInterraction
Rarely,Rarely,Somtimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Never,Rarely,Often
Rarely,Rarely,Rarely,Rarely,Rarely,Very Often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes
Sometimes,Often,Somtimes,Sometimes,Sometimes,Sometimes,Very Often,Very Often,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Never,Very Often,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes
Often,Very Often,Somtimes,Often,Often,Very Often,Sometimes,Often,Sometimes,Sometimes,Often,Often,Very Often,Sometimes,Sometimes,Rarely,Often,Very Often,Often,Sometimes,Often,Sometimes,Very Often,Very Often,Rarely,Sometimes,Rarely
Sometimes,Very Often,Often,Very Often,Often,Sometimes,Very Often,Often,Often,Often,Very Often,Sometimes,Often,Sometimes,Sometimes,Sometime,Often,Very Often,Often,Sometimes,Very Often,Sometimes,Very Often,Very Often,Rarely,Sometimes,Often
Sometimes,Sometimes,Never,Sometimes,Rarely,Never,Never,Sometimes,Often,Never,Sometimes,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Sometimes,Never,Rarely,Rarely,Very Often
Sometimes,Very Often,Often,Very Often,Often,Sometimes,Often,Very Often,Often,Often,Very Often,Sometimes,Often,Sometimes,Sometimes,Rarely,Often,Very Often,Very Often,Sometimes,Often,Sometimes,Very Often,Very Often,Never,Sometimes,Rarely
Very Often,Sometimes,Often,Often,Rarely,Rarely,Never,Never,Very Often,Often,Sometimes,Never,Rarely,Rarely,Never,Rarely,Rarely,Often,Rarely,Often,Often,Rarely,Very Often,Sometimes,Often,Sometimes,Rarely
Sometimes,Sometimes,Often,Often,Often,Often,Often,Very Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Sometimes,Sometimes,Somtimes,Sometimes,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Sometimes,Often,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Sometimes,Often,Often,Often,Often,Often,Often,Often,Very Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Often,Often,Somtimes,Often,Sometimes,Sometimes,Often,Very Often,Often,Sometimes,Very Often,Often,Often,Very Often,Sometimes,Rarely,Often,Very Often,Often,Often,Very Often,Sometimes,Very Often,Very Often,Rarely,Often,Rarely
Very Often,Very Often,Often,Sometimes,Sometimes,Often,Very Often,Very Often,Very Often,Often,Very Often,Very Often,Very Often,Sometimes,Sometimes,Sometime,Often,Very Often,Often,Often,Very Often,Sometimes,Very Often,Very Often,Never,Often,Rarely
Sometimes,Often,Somtimes,Often,Sometimes,Sometimes,Often,Very Often,Very Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,Often,Very Often,Often,Often,Often,Rarely,Often,Very Often,Rarely,Sometimes,Rarely
Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Sometimes,Often,Often,Sometimes,Often,Sometime,Sometimes,Often,Often,Sometimes,Often,Often,Often,Often,Often,Sometimes,Often
Sometimes,Often,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Often,Often,Often,Often,Often,Sometimes,Very Often,Often,Often,Often,Often,Sometimes
Sometimes,Sometimes,Very Often,Sometimes,Sometimes,Often,Sometimes,Very Often,Sometimes,Very Often,Very Often,Often,Sometimes,Sometimes,Sometimes,Very Often,Often,Sometimes,Sometimes,Often,Sometimes,Very Often,Often,Sometimes,Often,Sometimes,Very Often
Often,Sometimes,Often,Often,Often,Often,Often,Sometimes,Often,Sometimes,Very Often,Often,Sometimes,Very Often,Sometimes,Sometime,Very Often,Often,Very Often,Sometimes,Often,Often,Sometimes,Often,Often,Sometimes,Sometimes
Sometimes,Sometimes,Often,Very Often,Often,Sometimes,Very Often,Sometimes,Often,Sometimes,Very Often,Often,Sometimes,Often,Sometimes,Sometime,Often,Very Often,Often,Often,Sometimes,Very Often,Often,Sometimes,Often,Very Often,Often
Often,Very Often,Very Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,Very Often,Often,Sometimes,Sometimes,Very Often,Often,Sometimes,Very Often,Sometimes,Often,Often,Sometimes,Sometimes,Often,Very Often,Very Often
Often,Sometimes,Very Often,Very Often,Often,Sometimes,Very Often,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Very Often,Often,Sometimes,Very Often,Often,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes
Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Often,Often,Often,Often,Sometimes,Often,Often,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Rarely,Sometimes,Rarely
Sometimes,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,Rarely,Sometimes,Rarely
Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Often,Often,Often,Often,Sometimes,Often,Often,Sometimes,Often,Often,Never,Sometimes,Sometimes
Often,Often,Somtimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Sometimes,Often,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely
Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Never,Sometimes,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Often,Rarely,Often
Never,Never,Never,Never,Never,Never,Rarely,Never,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometime,Rarely,Sometimes,Sometimes,Rarely,Never,Never,Sometimes,Sometimes,Rarely,Rarely,Sometimes
Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never
Rarely,Sometimes,Somtimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Never,Never,Sometimes,Rarely,Rarely
Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Often,Never,Often
Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Never,Rarely,Rarely,Never,Never,Often,Never,Never
Rarely,Often,Never,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometime,Often,Sometimes,Often,Rarely,Often,Sometimes,Rarely,Sometimes,Often,Sometimes,Sometimes
Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Sometimes
Often,Sometimes,Somtimes,Rarely,Sometimes,Often,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Never,Sometimes,Rarely,Sometimes
Never,Sometimes,Never,Rarely,Rarely,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Sometimes,Rarely,Sometimes
Rarely,Rarely,Never,Rarely,Rarely,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Rarely
Sometimes,Rarely,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Never,Rarely,Never,Rarely,Sometimes
Rarely,Rarely,Somtimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Rarely,Rarely,Rarely
Rarely,Rarely,Somtimes,Sometimes,Sometimes,Rarely,Rarely,Often,Often,Often,Sometimes,Often,Often,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Never,Sometimes,Rarely
Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Often,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely
Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Never,Sometimes,Rarely,Sometimes
Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Never,Sometimes,Rarely,Rarely
Rarely,Rarely,Never,Sometimes,Sometimes,Rarely,Never,Often,Often,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Rarely
Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Rarely
Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Sometimes
Sometimes,Rarely,Somtimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Sometimes,Rarely
Often,Often,Somtimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Never,Sometimes,Rarely
Sometimes,Sometimes,Somtimes,Rarely,Sometimes,Rarely,Often,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely
Often,Often,Rarely,Often,Often,Often,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely
Sometimes,Sometimes,Somtimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Never,Rarely,Rarely
Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely
Sometimes,Sometimes,Rarely,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely
Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Often,Rarely,Rarely,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Rarely
Sometimes,Rarely,Somtimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Never,Rarely,Never,Never,Rarely,Rarely
Sometimes,Rarely,Somtimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely
Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely
Sometimes,Often,Somtimes,Sometimes,Sometimes,Very Often,Often,Very Often,Very Often,Very Often,Very Often,Often,Often,Very Often,Often,Sometime,Often,Very Often,Very Often,Very Often,Very Often,Often,Very Often,Very Often,Rarely,Often,Rarely
Rarely,Sometimes,Somtimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Never,Rarely,Rarely
Rarely,Sometimes,Somtimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometime,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Never,Rarely,Sometimes,Rarely
Sometimes,Often,Somtimes,Often,Often,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Sometime,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely
Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely
Sometimes,Often,Somtimes,Often,Often,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Rarely
Often,Often,Somtimes,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Never,Sometimes,Rarely
Sometimes,Often,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Never
Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Sometime,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes
Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometime,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Never
Often,Often,Somtimes,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Rarely,Rarely,Never,Often,Never
Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely
Sometimes,Often,Somtimes,Often,Often,Sometimes,Often,Often,Often,Often,Sometimes,Often,Often,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Never
Sometimes,Often,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Never
Sometimes,Often,Often,Often,Often,Often,Often,Often,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Rarely,Sometimes,Sometimes
Sometimes,Often,Somtimes,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely
Often,Sometimes,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Never,Sometimes,Rarely
Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely
Sometimes,Often,Often,Often,Often,Sometimes,Often,Often,Sometimes,Often,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Sometimes,Often,Very Often,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Often,Often,Sometimes,Sometimes,Never,Rarely,Very Often,Very Often,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Often,Rarely,Very Often
Rarely,Sometimes,Somtimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Never,Never,Sometimes,Rarely,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Rarely,Sometimes
Sometimes,Often,Very Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Very Often,Often,Rarely,Rarely,Never,Never,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Often,Rarely,Often
Sometimes,Often,Somtimes,Sometimes,Sometimes,Very Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Very Often,Rarely,Never,Never,Often,Sometimes,Sometimes,Often,Very Often,Sometimes,Rarely,Sometimes,Sometimes,Often
Very Often,Sometimes,Somtimes,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Often,Very Often,Often,Often,Sometimes,Sometimes,Rarely,Often
Often,Often,Somtimes,Often,Sometimes,Rarely,Never,Never,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Never,Never,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely
Sometimes,Often,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Sometime,Rarely,Rarely,Sometimes,Rarely,Rarely,Never,Never,Rarely,Sometimes,Rarely,Rarely
Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Never,Rarely,Sometime,Sometimes,Rarely,Never,Sometimes,Sometimes,Often,Rarely,Sometimes,Sometimes,Sometimes,Sometimes
Never,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Never,Rarely
Rarely,Rarely,Somtimes,Sometimes,Never,Never,Rarely,Rarely,Very Often,Often,Sometimes,Sometimes,Rarely,Sometimes,Never,Often,Often,Never,Never,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes
Rarely,Sometimes,Often,Often,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely
Sometimes,Sometimes,Often,Very Often,Sometimes,Often,Very Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Often
Sometimes,Sometimes,Often,Often,Often,Sometimes,Very Often,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometime,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
Sometimes,Sometimes,Somtimes,Rarely,Sometimes,Sometimes,Often,Often,Rarely,Rarely,Often,Sometimes,Sometimes,Rarely,Never,Rarely,Often,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Often,Rarely,Rarely,Rarely,Very Often
Rarely,Sometimes,Often,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Often,Sometimes,Rarely,Often,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Never,Sometimes,Rarely,Sometimes
Often,Often,Rarely,Sometimes,Often,Sometimes,Rarely,Sometimes,Often,Often,Sometimes,Never,Often,Sometimes,Never,Very Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Rarely,Sometimes,Very Often
Rarely,Never,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Often,Never,Rarely,Rarely,Rarely,Sometimes,Sometimes,Very Often,Rarely,Rarely,Often,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes
Sometimes,Sometimes,Often,Very Often,Sometimes,Sometimes,Rarely,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes
Never,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Never,Rarely,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Often,Never,Rarely,Never,Sometimes,Rarely,Sometimes
Very Often,Rarely,Somtimes,Often,Never,Rarely,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Sometimes
Sometimes,Never,Somtimes,Sometimes,Rarely,Never,Often,Often,Very Often,Often,Never,Sometimes,Rarely,Often,Sometimes,Never,Never,Never,Sometimes,Often,Never,Never,Never,Never,Never,Very Often,Often
Never,Never,Never,Never,Never,Never,Often,Often,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Rarely,Sometimes,Sometimes
Rarely,Rarely,Often,Often,Rarely,Often,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Often
Rarely,Often,Somtimes,Sometimes,Sometimes,Rarely,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely
Sometimes,Often,Very Often,Very Often,Very Often,Often,Sometimes,Very Often,Often,Sometimes,Very Often,Sometimes,Often,Sometimes,Very Often,Sometime,Sometimes,Often,Very Often,Often,Very Often,Very Often,Sometimes,Often,Sometimes,Rarely,Very Often
Often,Often,Somtimes,Often,Sometimes,Often,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Never,Never,Never,Very Often,Rarely,Rarely,Rarely,Sometimes,Very Often,Sometimes,Often,Sometimes,Often,Often
Rarely,Sometimes,Never,Never,Sometimes,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Often,Often,Very Often,Rarely,Sometimes,Never,Sometimes
Often,Sometimes,Somtimes,Sometimes,Often,Often,Often,Sometimes,Sometimes,Often,Often,Often,Often,Very Often,Often,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely
Sometimes,Often,Somtimes,Often,Often,Often,Rarely,Often,Often,Often,Very Often,Sometimes,Often,Often,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Often,Often,Rarely
Often,Often,Somtimes,Often,Often,Very Often,Very Often,Very Often,Very Often,Sometimes,Very Often,Often,Very Often,Sometimes,Often,Sometime,Very Often,Very Often,Very Often,Often,Very Often,Sometimes,Very Often,Very Often,Rarely,Very Often,Rarely
Sometimes,Often,Somtimes,Very Often,Sometimes,Often,Very Often,Very Often,Often,Sometimes,Very Often,Sometimes,Often,Often,Often,Sometime,Often,Very Often,Very Often,Often,Very Often,Rarely,Very Often,Often,Rarely,Often,Sometimes
